geoid,b19013001,b19013001_moe
14000US01073011803,43971,5466
14000US01073012200,55288,8376
14000US01073011804,35357,12351
14000US01073012001,61210,7513
14000US01073012002,59886,7539
14000US01073012302,61303,6076
14000US01073012103,54306,7050
14000US01073012304,67896,17515
14000US01073012305,70341,7202
14000US01073012905,131250,27763
14000US01073012701,46500,11626
14000US01073012703,140132,24696
14000US01073012704,74741,6899
14000US01073012401,60149,8793
14000US01073012402,39124,6718
14000US01073012403,46859,7298
14000US01073012500,29944,6158
14000US01073012602,38822,6355
14000US01073012906,81157,9744
14000US01073012802,78203,12840
14000US01073012803,76673,7513
14000US01073012907,54926,8699
14000US01073012911,157950,27378
14000US01073012908,51176,8865
14000US01073012912,38807,7456
14000US01073012910,65174,5595
14000US01073012913,50170,7269
14000US01073013601,30462,6972
14000US01073012914,49743,8529
14000US01073012915,82469,15726
14000US01073014002,78188,18571
14000US01073014102,58026,6776
14000US01073014104,47946,6294
14000US01073014105,49625,12745
14000US01073014203,80795,13100
14000US01073013002,27578,6741
14000US01073013100,31691,6373
14000US01073013200,41037,5289
14000US01073013300,30606,7143
14000US01073013400,38241,5360
14000US01073014204,87734,20771
14000US01073014301,35086,11665
14000US01073014302,74870,3075
14000US01073013801,28480,2194
14000US01073014404,76086,13028
14000US01073014405,63125,14499
14000US01073013901,43125,10264
14000US01073013902,55602,11718
14000US01073014001,61940,5668
14000US01073014406,111813,6427
14000US01077010200,19506,2436
14000US01073014408,59105,5707
14000US01073014409,83276,4686
14000US01073014410,92955,17728
14000US01073014412,87083,9429
14000US01073014413,131033,8506
14000US01075030000,29513,3600
14000US01075030100,37664,5958
14000US01075030200,45000,9124
14000US01077010100,21169,5286
14000US01077010300,16964,7139
14000US01077010400,32353,4313
14000US01077010800,31200,7958
14000US01077010600,27955,7733
14000US01077010900,42141,5980
14000US01077010700,24457,3827
14000US01077011000,38853,5514
14000US01077011602,55750,11359
14000US01077011101,61230,5797
14000US01077011102,47576,11814
14000US01077011200,46222,6153
14000US01077011300,42768,3930
14000US01077011400,48178,5593
14000US01077011501,56537,9703
14000US01077011502,70402,15288
14000US01077011603,48550,4908
14000US01077011604,78287,8253
14000US01077011802,47668,6336
14000US01077011700,49036,7042
14000US01079979100,48846,12046
14000US01077011801,42813,8981
14000US01079979200,39390,2123
14000US01081040200,41182,3432
14000US01079979300,48342,6268
14000US01079979400,34436,5467
14000US01079979500,48183,7135
14000US01079979600,49512,11385
14000US01079979700,42986,8351
14000US01079979800,62083,16634
14000US01079979900,39861,13041
14000US01081040300,29362,10170
14000US01081040603,25714,15805
14000US01081040400,48988,7678
14000US01081040604,19037,5422
14000US01081040500,81698,8879
14000US01081040700,13913,3891
14000US01081040602,54216,13631
14000US01081040800,8275,5207
14000US01081040902,26048,9299
14000US01081041400,24091,5308
14000US01081041000,83606,8937
14000US01081041100,35766,3763
14000US01081041200,73818,9015
14000US01081041300,32165,7501
14000US01081040901,47427,11058
14000US01081041600,24651,6374
14000US01081042002,62670,7011
14000US01081041700,49680,2923
14000US01081042003,61389,6373
14000US01081041800,53750,18810
14000US01081042004,62125,10328
14000US01081042101,43546,4849
14000US01081041900,64713,12856
14000US01081042102,57365,5763
14000US01081042005,52267,9762
14000US01083020202,63789,5763
14000US01081042006,51594,6951
14000US01083020101,58622,15521
14000US01083020102,48935,7992
14000US01083020201,35223,4056
14000US01083020300,52295,8726
14000US01083020600,28650,8796
14000US01083020401,51048,8763
14000US01083020700,24444,12234
14000US01083020402,52756,8654
14000US01083020801,66993,9438
14000US01083020500,33056,6256
14000US01083020802,78408,6112
14000US01085781100,24510,2207
14000US01083020900,57213,5104
14000US01083021000,46518,9609
14000US01083021100,53714,9071
14000US01083021200,87078,10208
14000US01085780800,30301,4854
14000US01085781000,36250,10102
14000US01085781200,36920,8294
14000US01087231602,23616,6114
14000US01087231400,36667,10473
14000US01087231603,44750,20841
14000US01087231700,,
14000US01087231500,37031,6691
14000US01087231800,24130,9538
14000US01087231601,54615,22600
14000US01087231900,28380,6237
14000US01089000502,43974,7296
14000US01089000202,30020,11824
14000US01089000301,34207,4864
14000US01089000302,27283,5107
14000US01087232000,21761,9118
14000US01087232100,37098,5785
14000US01087232200,38667,7630
14000US01087232300,27143,4447
14000US01089000201,23702,1816
14000US01089000503,48897,13290
14000US01089000403,53241,10138
14000US01089000601,45139,10606
14000US01089000501,42500,5538
14000US01089000702,25966,8323
14000US01089000602,34565,7354
14000US01089000901,57557,4522
14000US01089000701,29826,7694
14000US01089000902,53319,8753
14000US01089001700,93583,15761
14000US01089001000,42593,9507
14000US01089001200,11657,1524
14000US01089001301,21424,2265
14000US01089001302,36875,4235
14000US01089001401,81597,9809
14000US01089001402,44452,9484
14000US01089001801,109484,9122
14000US01089001500,33634,6081
14000US01089001901,117813,7250
14000US01089002000,67332,5934
14000US01089001902,106190,20616
14000US01089002100,18152,6003
14000US01089001903,157417,11788
14000US01089002200,30212,3836
14000US01089002300,31148,2668
14000US01089002722,96464,9346
14000US01089002400,23368,4898
14000US01089002501,19492,3939
14000US01089002502,28077,2841
14000US01089002600,54706,8527
14000US01089002701,87105,11273
14000US01089002801,51113,7315
14000US01089002721,73850,13574
14000US01089002802,68438,10186
14000US01089002921,65057,10221
14000US01089002911,77969,14163
14000US01089002922,109554,13630
14000US01089002912,96250,9328
14000US01089003000,18867,3661
14000US01089010501,92917,9886
14000US01089003100,50069,16459
14000US01089010100,67985,12005
14000US01089010200,73704,5003
14000US01089010301,50089,10280
14000US01089010302,50688,3275
14000US01089010401,49417,13192
14000US01089010402,54697,12179
14000US01089010502,63668,6730
14000US01089010612,75500,14038
14000US01089010623,104292,12514
14000US01089010621,118922,9868
14000US01089010624,91787,4239
14000US01089010622,41261,6757
14000US01089010701,78958,8706
14000US01089010702,66418,6975
14000US01089011014,98692,14303
14000US01089010800,84485,12589
14000US01089010901,118774,11891
14000US01089010902,50734,7570
14000US01089011011,121882,9442
14000US01089011012,140833,29121
14000US01089011013,83596,5355
14000US01089011021,57133,8070
14000US01089011022,53464,3652
14000US01089011300,73466,12778
14000US01089011100,84375,10018
14000US01089011400,50556,6849
14000US01089011200,91125,9842
14000US01091972900,23577,3582
14000US01091973000,39504,5238
14000US01091973200,35000,11880
14000US01093964200,37083,9077
14000US01091973300,36290,5718
14000US01091973400,55147,9617
14000US01093964000,31801,2684
14000US01093964100,30654,6166
14000US01091973100,21133,5516
14000US01093964300,43761,4695
14000US01093964400,32475,7108
14000US01093964700,41553,6079
14000US01093964500,42308,7296
14000US01095030100,35647,5940
14000US01095030201,47556,6332
14000US01095030401,45168,5281
14000US01093964600,32130,7939
14000US01095030402,57341,8194
14000US01095030202,50797,10685
14000US01095030702,42364,8560
14000US01095030300,60068,12846
14000US01095030904,41954,4479
14000US01095030500,41541,2760
14000US01095030600,43148,9218
14000US01095030701,45123,5016
14000US01095030801,37961,5477
14000US01097000401,18086,5079
14000US01095031000,37334,3763
14000US01095031100,33983,11108
14000US01095030802,33468,6006
14000US01095031200,42000,4339
14000US01097000402,18078,1805
14000US01095030902,54931,8792
14000US01097000500,23577,4292
14000US01097000200,34152,9773
14000US01095030903,33253,10853
14000US01097000600,20508,4149
14000US01097001001,36250,16554
14000US01097000701,28670,3864
14000US01097001400,24316,5992
14000US01097001501,18608,2000
14000US01097001502,11780,3383
14000US01097001800,27644,8350
14000US01097001901,50500,12038
14000US01097000702,27722,5639
14000US01097000800,36272,10159
14000US01097000901,61875,14432
14000US01097000902,64113,12124
14000US01097000903,42353,8308
14000US01097001002,45057,8772
14000US01097001902,37500,17109
14000US01097002000,75688,23451
14000US01097002100,36990,4549
14000US01097001100,16868,2310
14000US01097002200,30189,3262
14000US01097002302,25484,4708
14000US01097001200,26175,1839
14000US01097002400,21168,5758
14000US01097002301,30025,11745
14000US01097001302,31036,8481
14000US01097002501,65464,9450
14000US01097002502,58875,14318
14000US01097003202,41912,11089
14000US01097002600,24205,13749
14000US01097003302,76619,10093
14000US01097002700,18542,4104
14000US01097002800,35792,6568
14000US01097002900,42101,6580
14000US01097003000,48111,9545
14000US01097003100,67250,9708
14000US01097003203,30476,8891
14000US01097003402,33632,9760
14000US01097003204,31297,3040
14000US01097003404,27714,7198
14000US01097003205,25625,10257
14000US01097003405,45685,8462
14000US01097003301,44093,7971
14000US01097003406,41171,6152
14000US01097003704,59792,10851
14000US01097003605,,
14000US01097003606,31997,6150
14000US01097003407,48193,6411
14000US01097003408,49367,6419
14000US01097003501,72583,14401
14000US01097003502,110380,28077
14000US01097003602,20515,5128
14000US01097003705,54668,5925
14000US01097003607,37422,6646
14000US01097003706,67125,5894
14000US01097003608,43350,9896
14000US01097003707,38551,3709
14000US01097003703,42314,6126
14000US01097003708,65532,6402
14000US01097005100,22586,3916
14000US01097004000,26765,6734
14000US01097004100,14141,5034
14000US01097003709,70869,12779
14000US01097003710,48116,6396
14000US01097003800,33750,7538
14000US01097003901,22566,3425
14000US01097003902,17841,5933
14000US01097004800,15962,1777
14000US01097005200,41506,6229
14000US01097004900,22460,9043
14000US01097005300,32829,12609
14000US01097005000,22102,5271
14000US01097005400,51656,7541
